supplier,part_number,avg_lead_time,reliability_score,quality_impact_score,consistency_index
S23,Food,0,0.68,100.0,0.68
S23,Machinery,0,0.67,100.0,0.67
S11,Pharma,1,0.69,100.0,0.34
S28,Food,0,0.57,100.0,0.57
S29,Machinery,0,0.87,100.0,0.87
S17,Electronics,3,0.93,100.0,0.23
S8,Pharma,0,0.97,100.0,0.97
S20,Pharma,0,0.75,100.0,0.75
S28,Pharma,2,0.85,100.0,0.28
S1,Food,2,0.93,100.0,0.31
S26,Machinery,1,0.71,100.0,0.36
S7,Machinery,0,0.65,100.0,0.65
S11,Electronics,0,0.97,100.0,0.97
S28,Electronics,0,0.76,100.0,0.76
S20,Pharma,7,0.75,100.0,0.09
S12,Electronics,0,0.59,100.0,0.59
S15,Food,1,0.55,100.0,0.28
S12,Machinery,1,0.92,100.0,0.46
S18,Pharma,5,0.81,100.0,0.14
S21,Electronics,2,0.66,100.0,0.22
S12,Food,0,0.6,100.0,0.6
S26,Food,0,0.78,100.0,0.78
S25,Electronics,3,0.79,100.0,0.2
S6,Machinery,2,0.6,100.0,0.2
S2,Electronics,5,0.93,100.0,0.16
S13,Pharma,10,0.54,100.0,0.05
S27,Electronics,10,0.68,100.0,0.06
S16,Food,0,0.84,100.0,0.84
S23,Electronics,0,0.64,100.0,0.64
S1,Machinery,0,0.91,100.0,0.91
S17,Textiles,0,0.87,100.0,0.87
S16,Electronics,0,0.89,100.0,0.89
S18,Machinery,3,0.56,100.0,0.14
S15,Machinery,0,0.57,100.0,0.57
S4,Food,0,0.64,100.0,0.64
S4,Machinery,5,0.76,100.0,0.13
S8,Machinery,2,0.87,100.0,0.29
S14,Machinery,0,0.92,100.0,0.92
S17,Machinery,0,0.85,100.0,0.85
S12,Pharma,0,0.96,100.0,0.96
S7,Pharma,0,0.87,100.0,0.87
S26,Food,2,0.65,100.0,0.22
S20,Electronics,1,0.63,100.0,0.32
S26,Machinery,0,0.85,100.0,0.85
S21,Electronics,1,0.6,100.0,0.3
S3,Electronics,5,0.55,100.0,0.09
S6,Food,0,0.77,100.0,0.77
S23,Machinery,5,0.91,100.0,0.15
S11,Machinery,0,0.55,100.0,0.55
S11,Textiles,0,0.9,100.0,0.9
S12,Electronics,5,0.91,100.0,0.15
S10,Electronics,0,0.74,100.0,0.74
S24,Pharma,0,0.53,100.0,0.53
S1,Textiles,1,0.59,100.0,0.3
S1,Pharma,0,0.85,100.0,0.85
S7,Pharma,0,0.86,100.0,0.86
S5,Pharma,0,0.95,100.0,0.95
S23,Food,0,0.79,100.0,0.79
S9,Food,3,0.56,100.0,0.14
S4,Pharma,10,0.56,100.0,0.05
S22,Textiles,1,0.86,100.0,0.43
S25,Electronics,2,0.59,100.0,0.2
S27,Textiles,0,0.66,100.0,0.66
S24,Machinery,5,0.74,100.0,0.12
S4,Food,0,0.51,100.0,0.51
S10,Electronics,7,0.62,100.0,0.08
S5,Electronics,0,0.7,100.0,0.7
S4,Machinery,10,0.64,100.0,0.06
S25,Machinery,0,0.57,100.0,0.57
S3,Pharma,0,0.86,100.0,0.86
S8,Food,0,0.91,100.0,0.91
S11,Food,0,0.63,100.0,0.63
S2,Textiles,0,0.89,100.0,0.89
S2,Pharma,0,0.69,100.0,0.69
S23,Pharma,0,0.75,100.0,0.75
S9,Pharma,7,0.93,100.0,0.12
S17,Pharma,5,0.87,100.0,0.14
S1,Food,2,0.9,100.0,0.3
S22,Food,0,0.57,100.0,0.57
S27,Pharma,0,0.53,100.0,0.53
S9,Textiles,1,0.95,100.0,0.48
S5,Electronics,0,0.69,100.0,0.69
S29,Electronics,7,0.64,100.0,0.08
S5,Textiles,1,0.86,100.0,0.43
S2,Pharma,2,0.92,100.0,0.31
S19,Food,3,0.93,100.0,0.23
S30,Electronics,0,0.66,100.0,0.66
S1,Machinery,0,0.93,100.0,0.93
S3,Machinery,0,0.52,100.0,0.52
S28,Textiles,1,0.52,100.0,0.26
S13,Pharma,0,0.81,100.0,0.81
S3,Electronics,0,0.53,100.0,0.53
S22,Pharma,0,0.66,100.0,0.66
S26,Electronics,7,0.84,100.0,0.1
S25,Textiles,3,0.67,100.0,0.17
S11,Textiles,3,0.59,100.0,0.15
S28,Machinery,0,0.64,100.0,0.64
S14,Pharma,0,0.73,100.0,0.73
S4,Machinery,7,0.74,100.0,0.09
S11,Pharma,2,0.89,100.0,0.3
S6,Machinery,0,0.88,100.0,0.88
S16,Food,0,0.73,100.0,0.73
S26,Food,0,0.92,100.0,0.92
S17,Food,3,0.56,100.0,0.14
S5,Food,0,0.63,100.0,0.63
S16,Electronics,0,0.91,100.0,0.91
S25,Food,0,0.69,100.0,0.69
S15,Textiles,7,0.99,100.0,0.12
S16,Textiles,0,0.73,100.0,0.73
S17,Electronics,0,0.9,100.0,0.9
S14,Food,0,0.7,100.0,0.7
S6,Food,1,0.71,100.0,0.36
S4,Food,10,0.69,100.0,0.06
S4,Machinery,0,0.86,100.0,0.86
S17,Pharma,5,0.77,100.0,0.13
S5,Machinery,3,0.97,100.0,0.24
S14,Pharma,5,0.63,100.0,0.1
S7,Food,0,0.55,100.0,0.55
S10,Food,0,0.7,100.0,0.7
S10,Machinery,0,0.81,100.0,0.81
S17,Machinery,0,0.93,100.0,0.93
S27,Pharma,2,0.67,100.0,0.22
S9,Textiles,0,0.83,100.0,0.83
S19,Pharma,10,0.68,100.0,0.06
S24,Machinery,0,0.81,100.0,0.81
S22,Machinery,1,0.94,100.0,0.47
S19,Electronics,2,0.62,100.0,0.21
S9,Machinery,3,0.7,100.0,0.18
S8,Electronics,1,1.0,100.0,0.5
S29,Textiles,1,0.93,100.0,0.46
S17,Pharma,0,0.78,100.0,0.78
S29,Pharma,0,0.76,100.0,0.76
S4,Electronics,0,0.64,100.0,0.64
S4,Pharma,1,0.76,100.0,0.38
S10,Machinery,2,0.92,100.0,0.31
S2,Food,3,0.84,100.0,0.21
S29,Electronics,0,0.65,100.0,0.65
S20,Pharma,0,0.6,100.0,0.6
S28,Electronics,0,0.63,100.0,0.63
S25,Electronics,2,0.58,100.0,0.19
S27,Food,1,0.55,100.0,0.28
S26,Machinery,0,0.71,100.0,0.71
S11,Electronics,0,0.56,100.0,0.56
S25,Pharma,0,0.59,100.0,0.59
S12,Textiles,0,0.77,100.0,0.77
S29,Electronics,3,0.58,100.0,0.14
S24,Electronics,0,0.53,100.0,0.53
S17,Food,2,0.66,100.0,0.22
S19,Machinery,7,0.61,100.0,0.08
S26,Textiles,0,0.76,100.0,0.76
S7,Pharma,0,0.55,100.0,0.55
S26,Textiles,3,0.88,100.0,0.22
S20,Pharma,0,0.95,100.0,0.95
S22,Machinery,0,0.87,100.0,0.87
S3,Pharma,0,0.77,100.0,0.77
S22,Food,3,0.93,100.0,0.23
S21,Food,1,0.85,100.0,0.42
S9,Food,3,0.51,100.0,0.13
S16,Food,1,0.7,100.0,0.35
S15,Textiles,0,0.93,100.0,0.93
S2,Machinery,3,0.67,100.0,0.17
S25,Pharma,0,0.52,100.0,0.52
S24,Pharma,2,0.87,100.0,0.29
S11,Food,5,0.9,100.0,0.15
S28,Food,0,0.58,100.0,0.58
S18,Electronics,0,0.77,100.0,0.77
S16,Machinery,0,0.6,100.0,0.6
S26,Textiles,1,0.86,100.0,0.43
S16,Pharma,0,0.64,100.0,0.64
S4,Electronics,0,0.66,100.0,0.66
S29,Electronics,1,0.92,100.0,0.46
S3,Pharma,10,0.74,100.0,0.07
S19,Textiles,0,0.83,100.0,0.83
S4,Electronics,5,0.7,100.0,0.12
S2,Electronics,0,0.65,100.0,0.65
S10,Machinery,0,0.81,100.0,0.81
S23,Textiles,0,0.58,100.0,0.58
S1,Electronics,3,0.69,100.0,0.17
S8,Textiles,3,0.6,100.0,0.15
S26,Pharma,0,0.85,100.0,0.85
S24,Food,2,0.97,100.0,0.32
S24,Electronics,0,1.0,100.0,1.0
S12,Machinery,0,0.73,100.0,0.73
S19,Pharma,0,0.63,100.0,0.63
S13,Textiles,0,0.72,100.0,0.72
S23,Pharma,0,0.92,100.0,0.92
S12,Electronics,1,0.6,100.0,0.3
S23,Textiles,0,0.98,100.0,0.98
S18,Food,2,0.67,100.0,0.22
S6,Pharma,3,0.99,100.0,0.25
S30,Electronics,0,0.92,100.0,0.92
S7,Machinery,3,0.9,100.0,0.22
S5,Textiles,0,0.66,100.0,0.66
S27,Pharma,0,0.5,100.0,0.5
S19,Pharma,0,0.69,100.0,0.69
S11,Food,0,0.65,100.0,0.65
S3,Food,2,0.52,100.0,0.17
S12,Machinery,0,0.75,100.0,0.75
S14,Machinery,2,0.7,100.0,0.23
S24,Electronics,0,0.82,100.0,0.82
S30,Electronics,10,0.81,100.0,0.07
S13,Machinery,0,0.56,100.0,0.56
S24,Machinery,0,0.99,100.0,0.99
S26,Textiles,2,0.59,100.0,0.2
S14,Food,3,0.72,100.0,0.18
S20,Electronics,0,0.74,100.0,0.74
S8,Food,0,0.91,100.0,0.91
S4,Food,10,0.55,100.0,0.05
S11,Machinery,0,0.71,100.0,0.71
S20,Textiles,0,0.81,100.0,0.81
S17,Pharma,0,0.61,100.0,0.61
S4,Textiles,3,0.81,100.0,0.2
S30,Textiles,5,0.96,100.0,0.16
S19,Food,2,1.0,100.0,0.33
S30,Textiles,0,0.52,100.0,0.52
S25,Electronics,10,0.62,100.0,0.06
S28,Food,0,0.66,100.0,0.66
S7,Electronics,3,0.7,100.0,0.18
S7,Pharma,0,0.62,100.0,0.62
S18,Food,2,0.6,100.0,0.2
S27,Pharma,3,0.98,100.0,0.24
S3,Food,0,0.96,100.0,0.96
S15,Machinery,3,0.52,100.0,0.13
S12,Textiles,1,0.67,100.0,0.34
S16,Machinery,1,0.7,100.0,0.35
S5,Pharma,0,0.62,100.0,0.62
S23,Textiles,0,0.81,100.0,0.81
S9,Food,1,0.82,100.0,0.41
S27,Textiles,0,0.93,100.0,0.93
S22,Electronics,1,0.87,100.0,0.44
S24,Textiles,2,0.77,100.0,0.26
S7,Electronics,10,0.83,100.0,0.08
S9,Textiles,0,0.64,100.0,0.64
S22,Electronics,0,0.8,100.0,0.8
S25,Pharma,0,0.74,100.0,0.74
S24,Machinery,0,0.57,100.0,0.57
S5,Food,0,0.62,100.0,0.62
S12,Textiles,0,0.65,100.0,0.65
S14,Machinery,0,0.96,100.0,0.96
S15,Food,3,0.62,100.0,0.16
S13,Food,0,0.64,100.0,0.64
S10,Electronics,10,0.68,100.0,0.06
S15,Pharma,10,0.83,100.0,0.08
S27,Pharma,1,0.56,100.0,0.28
S14,Machinery,3,0.98,100.0,0.24
S8,Pharma,3,0.93,100.0,0.23
S15,Textiles,1,0.79,100.0,0.4
S10,Pharma,0,0.84,100.0,0.84
S4,Machinery,0,0.51,100.0,0.51
S18,Pharma,7,0.67,100.0,0.08
S22,Textiles,0,0.9,100.0,0.9
S6,Electronics,0,0.54,100.0,0.54
S18,Machinery,0,0.64,100.0,0.64
S26,Electronics,2,0.79,100.0,0.26
S27,Electronics,5,0.63,100.0,0.1
S25,Electronics,2,0.97,100.0,0.32
S1,Food,1,0.57,100.0,0.28
S28,Food,0,0.9,100.0,0.9
S9,Electronics,0,0.75,100.0,0.75
S7,Machinery,0,0.88,100.0,0.88
S29,Textiles,0,0.66,100.0,0.66
S9,Textiles,0,0.76,100.0,0.76
S27,Pharma,0,0.93,100.0,0.93
S10,Machinery,0,0.73,100.0,0.73
S6,Food,10,0.68,100.0,0.06
S10,Electronics,0,0.77,100.0,0.77
S20,Pharma,0,0.86,100.0,0.86
S4,Textiles,0,0.72,100.0,0.72
S10,Food,0,0.97,100.0,0.97
S20,Food,10,0.65,100.0,0.06
S27,Electronics,0,0.74,100.0,0.74
S12,Textiles,0,0.88,100.0,0.88
S10,Machinery,1,0.84,100.0,0.42
S7,Food,2,0.93,100.0,0.31
S22,Electronics,7,1.0,100.0,0.12
S14,Machinery,0,0.71,100.0,0.71
S9,Textiles,0,0.56,100.0,0.56
S14,Food,0,0.52,100.0,0.52
S22,Machinery,3,0.86,100.0,0.22
S17,Machinery,0,0.94,100.0,0.94
S29,Machinery,0,0.61,100.0,0.61
S24,Food,0,0.58,100.0,0.58
S22,Food,5,0.53,100.0,0.09
S25,Pharma,0,0.91,100.0,0.91
S25,Textiles,0,0.66,100.0,0.66
S28,Electronics,10,0.7,100.0,0.06
S12,Machinery,0,0.75,100.0,0.75
S9,Pharma,3,0.92,100.0,0.23
S7,Electronics,0,0.83,100.0,0.83
S23,Pharma,7,0.81,100.0,0.1
S1,Food,0,0.59,100.0,0.59
S28,Machinery,5,0.76,100.0,0.13
S4,Electronics,5,0.86,100.0,0.14
S28,Electronics,2,0.99,100.0,0.33
S6,Electronics,3,0.6,100.0,0.15
S20,Electronics,10,0.5,100.0,0.05
S9,Electronics,1,0.54,100.0,0.27
S13,Pharma,0,0.69,100.0,0.69
S9,Machinery,2,0.91,100.0,0.3
S1,Food,2,0.5,100.0,0.17
S21,Food,0,0.73,100.0,0.73
S9,Food,0,0.66,100.0,0.66
S26,Food,0,0.53,100.0,0.53
S24,Pharma,1,0.73,100.0,0.36
S8,Textiles,1,0.63,100.0,0.32
S19,Machinery,0,0.68,100.0,0.68
S4,Electronics,0,0.85,100.0,0.85
S12,Textiles,2,0.76,100.0,0.25
S5,Food,0,0.56,100.0,0.56
S27,Textiles,10,0.98,100.0,0.09
S27,Machinery,1,0.82,100.0,0.41
S14,Electronics,0,0.88,100.0,0.88
S27,Electronics,5,0.54,100.0,0.09
S1,Machinery,5,0.52,100.0,0.09
S22,Machinery,0,0.51,100.0,0.51
S12,Food,0,0.59,100.0,0.59
S26,Electronics,0,0.71,100.0,0.71
S14,Textiles,3,0.97,100.0,0.24
S27,Pharma,3,0.73,100.0,0.18
S24,Pharma,0,0.65,100.0,0.65
S11,Machinery,0,0.78,100.0,0.78
S21,Food,1,0.56,100.0,0.28
S27,Pharma,1,0.8,100.0,0.4
S23,Electronics,0,0.78,100.0,0.78
S29,Machinery,1,0.9,100.0,0.45
S25,Textiles,5,0.99,100.0,0.16
S20,Machinery,10,0.63,100.0,0.06
S3,Textiles,5,0.75,100.0,0.12
S10,Machinery,7,0.95,100.0,0.12
S5,Machinery,1,0.89,100.0,0.44
S19,Machinery,0,0.74,100.0,0.74
S21,Textiles,5,0.97,100.0,0.16
S5,Textiles,3,0.53,100.0,0.13
S16,Machinery,0,0.97,100.0,0.97
S14,Pharma,0,0.53,100.0,0.53
S22,Food,0,0.77,100.0,0.77
S10,Food,5,0.95,100.0,0.16
S20,Food,1,0.63,100.0,0.32
S8,Textiles,2,0.74,100.0,0.25
S26,Textiles,10,0.66,100.0,0.06
S5,Pharma,0,0.98,100.0,0.98
S24,Food,1,0.91,100.0,0.46
S19,Food,3,0.85,100.0,0.21
S3,Machinery,0,0.79,100.0,0.79
S22,Textiles,5,0.91,100.0,0.15
S1,Food,0,0.7,100.0,0.7
S10,Pharma,7,0.72,100.0,0.09
S14,Pharma,0,0.87,100.0,0.87
S5,Food,0,0.68,100.0,0.68
S23,Textiles,0,0.53,100.0,0.53
S15,Pharma,0,0.54,100.0,0.54
S7,Machinery,10,0.56,100.0,0.05
S27,Pharma,1,0.93,100.0,0.46
S2,Electronics,3,0.74,100.0,0.18
S24,Electronics,0,0.86,100.0,0.86
S26,Textiles,0,0.7,100.0,0.7
S9,Food,0,0.63,100.0,0.63
